Source=C#
Scan	Interpolated_NET	Aligned_NET
571	0.087442	0.087442
572	0.087537	0.087537
573	0.087633	0.087633
574	0.087728	0.087728
575	0.087824	0.087824
576	0.08792	0.08792
577	0.088015	0.088015
578	0.088111	0.088111
579	0.088207	0.088207
580	0.088302	0.088302
581	0.088398	0.088398
582	0.088494	0.088494
583	0.088589	0.088589
584	0.088685	0.088685
585	0.088781	0.088781
586	0.088876	0.088876
587	0.088972	0.088972
588	0.089067	0.089067
589	0.089163	0.089163
590	0.089259	0.089259
591	0.089354	0.089354
592	0.08945	0.08945
593	0.089546	0.089546
594	0.089641	0.089641
595	0.089737	0.089737
596	0.089833	0.089833
597	0.089928	0.089928
598	0.090024	0.090024
599	0.09012	0.09012
600	0.090215	0.090215
601	0.090311	0.090311
602	0.090406	0.090406
603	0.090502	0.090502
604	0.090598	0.090598
605	0.090693	0.090693
606	0.090789	0.090789
607	0.090885	0.090885
608	0.09098	0.09098
609	0.091076	0.091076
610	0.091172	0.091172
611	0.091267	0.091267
612	0.091363	0.091363
613	0.091459	0.091459
614	0.091554	0.091554
615	0.09165	0.09165
616	0.091745	0.091745
617	0.091841	0.091841
618	0.091937	0.091937
619	0.092032	0.092032
620	0.092128	0.092128
621	0.092224	0.092224
622	0.092319	0.092319
623	0.092415	0.092415
624	0.092511	0.092511
625	0.092606	0.092606
626	0.092702	0.092702
627	0.092798	0.092798
628	0.092893	0.092893
629	0.092989	0.092989
630	0.093084	0.093084
631	0.09318	0.09318
632	0.093276	0.093276
633	0.093371	0.093371
634	0.093467	0.093467
635	0.093563	0.093563
636	0.093658	0.093658
637	0.093754	0.093754
638	0.09385	0.09385
639	0.093945	0.093945
640	0.094041	0.094041
641	0.094137	0.094137
642	0.094232	0.094232
643	0.094328	0.094328
644	0.094423	0.094423
645	0.094519	0.094519
646	0.094615	0.094615
647	0.09471	0.09471
648	0.094806	0.094806
649	0.094902	0.094902
650	0.094997	0.094997
651	0.095093	0.095093
652	0.095189	0.095189
653	0.095284	0.095284
654	0.09538	0.09538
655	0.095475	0.095475
656	0.095571	0.095571
657	0.095667	0.095667
658	0.095762	0.095762
659	0.095858	0.095858
660	0.095954	0.095954
661	0.096049	0.096049
662	0.096145	0.096145
663	0.096241	0.096241
664	0.096336	0.096336
