Source=C#
UMCIndex	UMCNET	AlignedMass
557	0.27903	413.89
558	0.20166	414.21
559	0.23225	414.25
560	0.16859	414.27
561	0.20159	414.73
562	0.1777	414.74
563	0.13525	414.74
564	0.30527	414.75
565	0.17164	415.21
566	0.26355	415.22
567	0.14458	415.23
568	0.23292	415.25
569	0.29068	415.28
570	0.14458	415.71
571	0.20295	416.2
572	0.17383	416.2
573	0.22445	416.2
574	0.30717	416.22
575	0.1876	416.23
576	0.21832	416.48
577	0.14073	416.88
578	0.26043	416.9
579	0.15476	417.2
580	0.69097	418.16
581	0.6436	418.16
582	0.66025	418.16
583	0.21689	418.2
584	0.37744	418.22
585	0.19137	418.24
586	0.16353	418.71
587	0.17361	418.74
588	0.80214	419.19
589	0.29112	419.23
590	0.16301	420.19
591	0.21684	420.21
592	0.23314	420.22
593	0.14458	420.22
594	0.26782	420.23
595	0.18517	420.25
596	0.19136	420.25
597	0.19318	420.7
598	0.20009	420.72
599	0.23204	420.89
600	0.26019	420.89
601	0.16556	421.23
602	0.14175	422.22
603	0.16571	422.22
604	0.28816	423.24
605	0.34237	423.24
606	0.27139	424.22
607	0.1351	424.22
608	0.20558	424.23
609	0.25318	424.23
610	0.30389	424.75
611	0.21897	425.17
612	0.18192	425.21
613	0.26597	425.23
614	0.25942	425.23
615	0.45076	425.23
616	0.19328	425.72
617	0.16952	426.24
618	0.13805	426.74
619	0.19549	427.21
620	0.16939	427.24
621	0.23105	427.74
622	0.22492	427.75
623	0.2249	427.91
624	0.25429	428.11
625	0.24485	428.11
626	0.31986	428.3
627	0.21563	428.73
628	0.20341	428.74
629	0.2496	428.75
630	0.14787	428.75
631	0.16056	428.75
632	0.15928	429.21
633	0.16079	429.22
634	0.15356	429.23
635	0.22369	429.24
636	0.28816	429.25
637	0.20871	429.27
638	0.16556	429.3
639	0.18868	429.74
640	0.23155	429.75
641	0.29002	429.75
642	0.24496	429.89
643	0.18945	429.9
644	0.43825	430.08
645	0.21746	430.21
646	0.16595	430.22
647	0.15088	430.23
648	0.18084	430.23
649	0.28757	430.24
650	0.26607	430.24
651	0.31575	430.24
652	0.29916	430.28
653	0.28134	430.28
654	0.18895	430.72
655	0.26118	430.75
656	0.20312	431.22
657	0.2839	431.23
658	0.14998	431.23
659	0.30675	431.26
660	0.2322	431.27
661	0.14634	431.54
662	0.21734	431.71
663	0.17872	431.71
664	0.20611	431.73
665	0.24686	431.74
666	0.2047	432.21
667	0.18763	432.26
668	0.1766	432.71
669	0.26694	432.71
670	0.14612	432.89
671	0.15594	433.2
672	0.18303	433.24
673	0.19067	433.57
674	0.16241	433.73
675	0.21464	433.74
676	0.29315	433.9
677	0.14622	433.91
678	0.15662	434.21
679	0.2186	434.27
680	0.15958	434.69
681	0.1335	434.87
682	0.20823	435.24
683	0.15539	436.21
684	0.18669	436.21
685	0.31554	436.22
686	0.17618	436.25
687	0.13606	437.2
688	0.13823	437.22
689	0.1868	437.26
690	0.20065	437.72
691	0.24161	437.76
692	0.20191	438.73
