Source=C#
Scan	Interpolated_NET	Aligned_NET
1249	0.065428	
1250	0.065444	
1251	0.065461	
1252	0.065478	
1253	0.065494	
1254	0.065511	
1255	0.065527	
1256	0.065544	
1257	0.065561	
1258	0.065577	
1259	0.065594	
1260	0.065611	
1261	0.065627	
1262	0.065644	
1263	0.06566	
1264	0.065677	
1265	0.065694	
1266	0.06571	
1267	0.065727	
1268	0.065744	
1269	0.06576	
1270	0.065777	
1271	0.065794	
1272	0.06581	
1273	0.065827	
1274	0.065843	
1275	0.06586	
1276	0.065877	
1277	0.065893	
1278	0.06591	
1279	0.065927	
1280	0.065943	
1281	0.06596	
1282	0.065977	
1283	0.065993	
1284	0.06601	
1285	0.066026	
1286	0.066043	
1287	0.06606	
1288	0.066076	
1289	0.066093	
1290	0.06611	
1291	0.066126	
1292	0.066143	
1293	0.066159	
1294	0.066176	
1295	0.066193	
1296	0.066209	
1297	0.066226	
1298	0.066243	
1299	0.066259	
1300	0.066276	
1301	0.066293	
1302	0.066309	
1303	0.066326	
1304	0.066342	
1305	0.066359	
1306	0.066376	
1307	0.066392	
1308	0.066409	
1309	0.066426	
1310	0.066442	
1311	0.066459	
1312	0.066476	
1313	0.066492	
1314	0.066509	
1315	0.066525	
1316	0.066542	
1317	0.066559	
1318	0.066575	
1319	0.066592	
1320	0.066609	
1321	0.066625	
1322	0.066642	
1323	0.066658	
1324	0.066675	
1325	0.066692	
1326	0.066708	
1327	0.066725	
1328	0.066742	
1329	0.066758	
1330	0.066775	
1331	0.066792	
1332	0.066808	
1333	0.066825	
1334	0.066841	
1335	0.066858	
1336	0.066875	
1337	0.066891	
1338	0.066908	
1339	0.066925	
1340	0.066941	
1341	0.066958	
1342	0.066975	
1343	0.066991	
1344	0.067008	
1345	0.067024	
1346	0.067041	
1347	0.067058	
1348	0.067074	
1349	0.067091	
1350	0.067108	
1351	0.067124	
1352	0.067141	
1353	0.067157	
1354	0.067174	
1355	0.067191	
1356	0.067207	
1357	0.067224	
1358	0.067241	
1359	0.067257	
1360	0.067274	
1361	0.067291	
1362	0.067307	
1363	0.067324	
1364	0.06734	
1365	0.067357	
1366	0.067374	
1367	0.06739	
1368	0.067407	
1369	0.067424	
1370	0.06744	
1371	0.067457	
1372	0.067473	
1373	0.06749	
1374	0.067507	
1375	0.067523	
1376	0.06754	
1377	0.067557	
1378	0.067573	
1379	0.06759	
1380	0.067607	
1381	0.067623	
1382	0.06764	
1383	0.067656	
1384	0.067673	
1385	0.06769	
1386	0.067706	
1387	0.067723	
1388	0.06774	
1389	0.067756	
1390	0.067773	
1391	0.06779	
1392	0.067806	
1393	0.067823	
1394	0.067839	
1395	0.067856	
1396	0.067873	
1397	0.067889	
1398	0.067906	
1399	0.067923	
1400	0.067939	
1401	0.067956	
1402	0.067972	
1403	0.067989	
1404	0.068006	
1405	0.068022	
1406	0.068039	
1407	0.068056	
1408	0.068072	
1409	0.068089	
1410	0.068106	
1411	0.068122	
1412	0.068139	
1413	0.068155	
1414	0.068172	
1415	0.068189	
1416	0.068205	
1417	0.068222	
1418	0.068239	
1419	0.068255	
1420	0.068272	
1421	0.068289	
1422	0.068305	
1423	0.068322	
1424	0.068338	
1425	0.068355	
1426	0.068372	
1427	0.068388	
1428	0.068405	
1429	0.068422	
1430	0.068438	
1431	0.068455	
1432	0.068471	
1433	0.068488	
1434	0.068505	
1435	0.068521	
1436	0.068538	
1437	0.068555	
1438	0.068571	
1439	0.068588	
1440	0.068605	
1441	0.068621	
1442	0.068638	
1443	0.068654	
1444	0.068671	
1445	0.068688	
1446	0.068704	
1447	0.068721	
1448	0.068738	
1449	0.068754	
1450	0.068771	
1451	0.068787	
1452	0.068804	
1453	0.068821	
1454	0.068837	
1455	0.068854	
1456	0.068871	
1457	0.068887	
1458	0.068904	
1459	0.068921	
1460	0.068937	
1461	0.068954	
1462	0.06897	
1463	0.068987	
1464	0.069004	
1465	0.06902	
1466	0.069037	
1467	0.069054	
1468	0.06907	
1469	0.069087	
1470	0.069104	
1471	0.06912	
1472	0.069137	
1473	0.069153	
1474	0.06917	
1475	0.069187	
1476	0.069203	
1477	0.06922	
1478	0.069237	
1479	0.069253	
1480	0.06927	
1481	0.069286	
1482	0.069303	
1483	0.06932	
1484	0.069336	
1485	0.069353	
1486	0.06937	
1487	0.069386	
1488	0.069403	
1489	0.06942	
1490	0.069436	
1491	0.069453	
1492	0.069469	
1493	0.069486	
1494	0.069503	
1495	0.069519	
1496	0.069536	
1497	0.069553	
1498	0.069569	
1499	0.069586	
1500	0.069603	
1501	0.069619	
1502	0.069636	
1503	0.069652	
1504	0.069669	
1505	0.069686	
1506	0.069702	
1507	0.069719	
1508	0.069736	
1509	0.069752	
1510	0.069769	
1511	0.069785	
1512	0.069802	
1513	0.069819	
1514	0.069835	
1515	0.069852	
1516	0.069869	
1517	0.069885	
1518	0.069902	
1519	0.069919	
1520	0.069935	
1521	0.069952	
1522	0.069968	
1523	0.069985	
1524	0.070002	
1525	0.070018	
1526	0.070035	
1527	0.070052	
1528	0.070068	
1529	0.070085	
1530	0.070102	
1531	0.070118	
1532	0.070135	
1533	0.070151	
1534	0.070168	
1535	0.070185	
1536	0.070201	
1537	0.070218	
1538	0.070235	
1539	0.070251	
1540	0.070268	
1541	0.070284	
1542	0.070301	
1543	0.070318	
1544	0.070334	
1545	0.070351	
1546	0.070368	
1547	0.070384	
1548	0.070401	
1549	0.070418	
1550	0.070434	
1551	0.070451	
1552	0.070467	
1553	0.070484	
1554	0.070501	
1555	0.070517	
1556	0.070534	
1557	0.070551	
1558	0.070567	
1559	0.070584	
1560	0.0706	
1561	0.070617	
1562	0.070634	
1563	0.07065	
1564	0.070667	
1565	0.070684	
1566	0.0707	
1567	0.070717	
1568	0.070734	
1569	0.07075	
1570	0.070767	
1571	0.070783	
1572	0.0708	
1573	0.070817	
1574	0.070833	
1575	0.07085	
1576	0.070867	
